pond_code,invasion,residence_time,native_frog_richness,native_frog_abundance,bullfrog_abundance,x,y,water_area,area,isolation
ZJJ_site157,Y,36,3,25,1,122.3443031,29.9291753,0.012838585,65.25140868,18436.04553
ZJJ_site163,N,0,4,50,0,122.4047351,29.89704859,0.039434006,65.25140868,18436.04553
ZJJ_site159,Y,36,2,1,5,122.3458923,29.93216356,0.003312497,65.25140868,18436.04553
CZ_site005,N,0,3,8,0,121.9417499,30.08856025,0.008919155,15.4,16004.9841
DS_site018,Y,30,2,26,1,122.1758864,30.29765023,0.030011971,116.2004095,35566.37415
FD_site047,Y,27,2,4,1,122.033848,29.75097698,0.010469677,7.467739107,7058.597696
FD_site049,N,0,3,5,0,122.0233042,29.74760282,0.009837713,7.467739107,7058.597696
FD_site053,Y,27,3,11,1,122.0339887,29.75557816,0.011188077,7.467739107,7058.597696
LH_site068,Y,30,2,11,2,122.1032519,29.75730152,0.041044807,103.4493029,6739.671409
LH_site073,Y,30,2,3,0.5,122.085576,29.74618497,0.228803718,103.4493029,6739.671409
LH_site076,Y,30,2,2,3.5,122.0760003,29.75701277,0.033888461,103.4493029,6739.671409
LH_site067,Y,30,3,3,0.5,122.1611443,29.7113565,0.012605654,103.4493029,6739.671409
LH_site074,Y,30,4,10,0.333333333,122.1476771,29.71306702,0.00285752,103.4493029,6739.671409
MY_site080,N,0,2,5,0,122.2599922,29.86792017,0.006942568,2.920410648,10272.49022
QS_site102,N,0,3,14,0,122.292925,30.45861842,0.009149373,65.78581511,53637.36491
QS_site099,N,0,2,43,0,122.2896207,30.44729809,0.013274364,65.78581511,53637.36491
QS_site100,Y,25,3,30,1,122.3734981,30.44070386,0.0033801,65.78581511,53637.36491
TH_site111,N,0,4,3,0,122.2589185,29.83529632,0.00372423,41.60965655,9187.233191
TH_site108,Y,30,3,6,1,122.2720085,29.82973738,0.037181034,41.60965655,9187.233191
XCT_site126,Y,29,4,14,1,122.2969486,30.25960282,0.014,13.7453061,38582.4632
XS_site128,Y,33,3,12,1,122.1615626,30.15285879,0.003,24.66452293,25750.09077
XZ_site124,N,0,3,8,0,122.2260486,29.77520129,0.001505654,18.28521085,13438.21185
XZ_site120,N,0,2,22,0,122.2399943,29.76440669,0.011192533,18.28521085,13438.21185
XZ_site122,N,0,3,8,0,122.2278344,29.77037222,0.011984277,18.28521085,13438.21185
XZ_site121,Y,28,2,5,1,122.2276363,29.77851624,0.027960534,18.28521085,13438.21185
XZ_site119,Y,28,3,5,3,122.2210493,29.77249834,0.011984277,18.28521085,13438.21185
DS_site016,Y,30,2,7,4.5,122.1355835,30.30472911,0.0165204,116.2004095,35566.37415
DS_site022,Y,30,4,4,2,122.1055733,30.28931705,0.004736223,116.2004095,35566.37415
DS_site020,Y,30,4,9,1,122.1692841,30.29554953,0.00903272,116.2004095,35566.37415
DS_site033,Y,30,4,20,1.5,122.1656977,30.29551729,0.037476102,116.2004095,35566.37415
DS_site029,Y,30,3,8,8.5,122.1597978,30.29953279,0.008972438,116.2004095,35566.37415
DS_site021,Y,30,3,8,3,122.1597966,30.29801032,0.004485224,116.2004095,35566.37415
DS_site032,Y,30,4,25,1.5,122.1233964,30.30040371,0.013813776,116.2004095,35566.37415
DS_site037,N,0,4,11,0,122.1181117,30.30105922,0.009074184,116.2004095,35566.37415
DS_site019,Y,30,2,23,1,122.1819276,30.30225966,0.014081899,116.2004095,35566.37415
DS_site031,Y,30,2,26,1.5,122.1637765,30.3008146,0.008211494,116.2004095,35566.37415
DS_site024,N,0,3,5,0,122.1110324,30.2907476,0.036100125,116.2004095,35566.37415
ZJJ_site165,N,0,4,41,0,122.1849695,30.25462788,0.093304833,116.2004095,35566.37415
XS_site129,N,0,2,19,0,122.1611758,30.18048793,0.02270939,24.66452293,25750.09077
XS_site130,Y,33,2,14,1,122.1860135,30.17934863,0.002281021,24.66452293,25750.09077
ZSM_site151,N,0,3,34,0,122.0808666,30.10896003,0.09769733,513.7521886,8742.013658
ZSM_site144,Y,36,3,1,1,122.2746469,30.01494984,0.002052632,513.7521886,8742.013658
ZSM_site149,Y,36,4,12,4.5,122.2784494,30.013517,0.005830955,513.7521886,8742.013658
ZSM_site150,Y,36,3,46,0.5,122.300365,30.01649736,0.026929468,513.7521886,8742.013658
ZJJ_site164,N,0,5,6,0,122.3994807,29.8839037,0.024803374,65.25140868,18436.04553
LH_site069,Y,30,3,5,3,122.1036185,29.74836564,0.003433502,103.4493029,6739.671409
LH_site071,Y,30,4,5,1,122.1904641,29.69102934,0.009096967,103.4493029,6739.671409
LH_site063,N,0,2,9,0,122.1651081,29.69730868,0.191344326,103.4493029,6739.671409
YS_site137,N,0,2,3,0,122.2144005,29.70271515,5.79E-04,7.480560884,19013.9924
XZ_site118,N,0,2,5,0,122.2455376,29.74953377,0.002792828,18.28521085,13438.21185
XCT_site127,N,0,3,5,0,122.2844653,30.26098986,2.28E-04,13.7453061,38582.4632
QS_site097,N,0,3,5,0,122.3109146,30.45963852,0.030660201,65.78581511,53637.36491
QS_site101,N,0,3,17,0,122.3557761,30.44055506,0.005285446,65.78581511,53637.36491
DYS_site014,N,0,3,18,0,122.0668767,30.58329564,0.01082541,5.089724105,32041.99763
JP_site056,N,0,3,6,0,122.4576075,30.75174794,0.002481178,2.112599436,47440.16262
SJ_site106,N,0,2,23,0,122.4463277,30.72335813,0.013280639,23.5938838,45682.99224
ZJJ_site167,N,0,2,21,0,122.5011038,30.71186338,0.002352811,23.5938838,45682.99224
SS_site103,N,0,3,14,0,122.8213782,30.7189109,0.008112613,4.314810269,81266.303
SS_site104,N,0,3,23,0,122.8095779,30.7239191,6.94E-04,4.314810269,81266.303
GQ_site054,N,0,3,7,0,122.7695131,30.71729617,0.001645344,5.952058012,77133.23267
LJZ_site077,N,0,5,13,0,122.2982296,29.93489773,4.26E-04,4.184825968,14960.49493
JT_site060,N,0,5,12,0,121.8590872,30.01052852,0.031231907,97.52379704,3226.281434
JT_site058,N,0,5,26,0,121.853999,30.00614666,0.009613427,97.52379704,3226.281434
CHZ_site142,N,0,4,27,0,122.1647363,29.98178039,0.004394588,7.88527873,7034.021628
