pond_code,invasion,residence_time,native_frog_richness,native_frog_abundance,bullfrog_abundance,water_area,area,isolation
ZJJ_site157,Y,36,3,25,1,0.012838585,65.25140868,18436.04553
ZJJ_site163,N,0,4,29.5,0,0.039434006,65.25140868,18436.04553
ZJJ_site159,Y,36,2,1,5,0.003312497,65.25140868,18436.04553
CZ_site005,N,0,3,5,0,0.008919155,15.4,16004.9841
DS_site018,Y,30,2,12.5,1,0.030011971,116.2004095,35566.37415
FD_site047,Y,27,2,4,1,0.010469677,7.467739107,7058.597696
FD_site049,N,0,3,5,0,0.009837713,7.467739107,7058.597696
FD_site053,Y,27,3,8,1,0.011188077,7.467739107,7058.597696
LH_site068,Y,30,2,11,2,0.041044807,103.4493029,6739.671409
LH_site073,Y,30,2,3.5,0.5,0.228803718,103.4493029,6739.671409
LH_site076,Y,30,2,1,3.5,0.033888461,103.4493029,6739.671409
LH_site067,Y,30,3,3.5,0.5,0.012605654,103.4493029,6739.671409
LH_site074,Y,30,4,7,0.333333333,0.00285752,103.4493029,6739.671409
MY_site080,N,0,2,8.5,0,0.006942568,2.920410648,10272.49022
QS_site102,N,0,3,14,0,0.009149373,65.78581511,53637.36491
QS_site099,N,0,2,21.5,0,0.013274364,65.78581511,53637.36491
QS_site100,Y,25,3,30,1,0.0033801,65.78581511,53637.36491
TH_site111,N,0,4,3,0,0.00372423,41.60965655,9187.233191
TH_site108,Y,30,3,6,1,0.037181034,41.60965655,9187.233191
XCT_site126,Y,29,4,18.5,1,0.014,13.7453061,38582.4632
XS_site128,Y,33,3,10.5,1,0.003,24.66452293,25750.09077
XZ_site124,N,0,3,8,0,0.001505654,18.28521085,13438.21185
XZ_site120,N,0,2,22,0,0.011192533,18.28521085,13438.21185
XZ_site122,N,0,3,8,0,0.011984277,18.28521085,13438.21185
XZ_site121,Y,28,2,9,1,0.027960534,18.28521085,13438.21185
XZ_site119,Y,28,3,4.333333333,3,0.011984277,18.28521085,13438.21185
DS_site016,Y,30,2,4.5,4.5,0.0165204,116.2004095,35566.37415
DS_site022,Y,30,4,4,2,0.004736223,116.2004095,35566.37415
DS_site020,Y,30,4,4.5,1,0.00903272,116.2004095,35566.37415
DS_site033,Y,30,4,12.5,1.5,0.037476102,116.2004095,35566.37415
DS_site029,Y,30,3,4.5,8.5,0.008972438,116.2004095,35566.37415
DS_site021,Y,30,3,5.5,3,0.004485224,116.2004095,35566.37415
DS_site032,Y,30,4,10,1.5,0.013813776,116.2004095,35566.37415
DS_site037,N,0,4,6,0,0.009074184,116.2004095,35566.37415
DS_site019,Y,30,2,5.5,1,0.014081899,116.2004095,35566.37415
DS_site031,Y,30,2,13.5,1.5,0.008211494,116.2004095,35566.37415
DS_site024,N,0,3,4.5,0,0.036100125,116.2004095,35566.37415
ZJJ_site165,N,0,4,21.5,0,0.093304833,116.2004095,35566.37415
XS_site129,N,0,2,13,0,0.02270939,24.66452293,25750.09077
XS_site130,Y,33,2,6,1,0.002281021,24.66452293,25750.09077
ZSM_site151,N,0,3,25.5,0,0.09769733,513.7521886,8742.013658
ZSM_site144,Y,36,3,1,1,0.002052632,513.7521886,8742.013658
ZSM_site149,Y,36,4,9.5,4.5,0.005830955,513.7521886,8742.013658
ZSM_site150,Y,36,3,23,0.5,0.026929468,513.7521886,8742.013658
ZJJ_site164,N,0,5,4.5,0,0.024803374,65.25140868,18436.04553
LH_site069,Y,30,3,5,3,0.003433502,103.4493029,6739.671409
LH_site071,Y,30,4,4.5,1,0.009096967,103.4493029,6739.671409
LH_site063,N,0,2,4.5,0,0.191344326,103.4493029,6739.671409
YS_site137,N,0,2,3,0,5.79E-04,7.480560884,19013.9924
XZ_site118,N,0,2,5,0,0.002792828,18.28521085,13438.21185
XCT_site127,N,0,3,5,0,2.28E-04,13.7453061,38582.4632
QS_site097,N,0,3,7,0,0.030660201,65.78581511,53637.36491
QS_site101,N,0,3,11.5,0,0.005285446,65.78581511,53637.36491
DYS_site014,N,0,3,9,0,0.01082541,5.089724105,32041.99763
JP_site056,N,0,3,6,0,0.002481178,2.112599436,47440.16262
SJ_site106,N,0,2,11.5,0,0.013280639,23.5938838,45682.99224
ZJJ_site167,N,0,2,13,0,0.002352811,23.5938838,45682.99224
SS_site103,N,0,3,14,0,0.008112613,4.314810269,81266.303
SS_site104,N,0,3,13,0,6.94E-04,4.314810269,81266.303
GQ_site054,N,0,3,4.5,0,0.001645344,5.952058012,77133.23267
LJZ_site077,N,0,5,16.5,0,4.26E-04,4.184825968,14960.49493
JT_site060,N,0,5,13.5,0,0.031231907,97.52379704,3226.281434
JT_site058,N,0,5,16,0,0.009613427,97.52379704,3226.281434
CHZ_site142,N,0,4,16.5,0,0.004394588,7.88527873,7034.021628
