"network","varibles","stand_cof","2.5 %","97.5 %","sw","p","significance"
"Connectance","Area",2.068263581694029,0.17909850732867838,3.9574286560593794,"0.752710012224114",0.031891,"*"
"Connectance","Isolation",2.744948576125629,0.7674460688447833,4.722451083406472,"0.967883275848328",0.0065163,"**"
"Connectance","Residence_time",1.2409129441126354,-0.587114915049473,3.068940803274745,"0.37481146110925",0.1833619,""
"Connectance","Bullfrog_abundance",1.1444687974197447,-0.5086461579785775,2.7975837528180674,"0.581363592244483",0.1748118,""
"Connectance","Crayfish_abundance",-0.6336943227705686,-1.859557868006708,0.5921692224655709,"0.272033665218182",0.3109751,""
"Connectance","Bullfrog_abundance:Isolation",-1.3484232513220449,-2.83249610185098,0.13564959920689046,"0.22981024020229",0.0749425,""
"Connectance","Area:Bullfrog_abundance",-0.8170759503838186,-2.41001355091952,0.7758616501518822,"0.118567706991385",0.3147345,""
"Connectance","Native_abundance",-0.42011730024500393,-1.7232955787803386,0.8830609782903306,"0.183051050801822",0.5274841,""
"Connectance","Human_activity",-0.13670260120035085,-1.6388270502413618,1.3654218478406603,"0.180579349219118",0.8584333,""
"Connectance","Vegetation_coverage",0.06285381550541132,-1.348586180730999,1.4742938117418214,"0.172180756682048",0.9304485,""
"Connectance","Water_area",0.13117591461299166,-1.246533096477346,1.5088849257033292,"0.170845086216796",0.8519631,""
"Modularity","Bullfrog_abundance",-2.84986576151793,-5.2329136005248085,-0.46681792251104737,"0.93926093005979",0.0190831,"*"
"Modularity","Isolation",-5.31284437700387,-8.210988338238497,-2.4147004157692242,"0.992160122223129",3.269e-4,"***"
"Modularity","Water_area",-3.0004267171222208,-4.836414815186695,-1.1644386190577427,"0.976190735048552",0.0013599,"**"
"Modularity","Vegetation_coverage",-1.1108234211829966,-3.161561825398189,0.9399149830321982,"0.268673200083702",0.288393,""
"Modularity","Residence_time",1.261363098099568,-2.196870575494951,4.719596771694088,"0.266755770665555",0.4746825,""
"Modularity","Native_abundance",-0.8427437903983958,-2.8485081116680027,1.1630205308712114,"0.230499804517993",0.4102236,""
"Modularity","Crayfish_abundance",0.6842881253155662,-1.1427357698306273,2.511312020461759,"0.237800791108161",0.4629005,""
"Modularity","Human_activity",-0.5540533758801367,-2.963903156554246,1.8557964047939726,"0.203011694628273",0.652264,""
"Modularity","Bullfrog_abundance:Isolation",0.4230585776343118,-1.7621516724281667,2.60826882769679,"0.185028339585447",0.7043532,""
"Modularity","Area",0.3021253393378017,-2.8852252257924738,3.489475904468077,"0.231654108622982",0.8526151,""
"Modularity","Area:Bullfrog_abundance",-1.1527392730081394,-3.6875477165669537,1.3820691705506756,"0.0555947356195037",0.3727571,""
"Nestedness","Isolation",2.4332486094123658,0.42628445342048193,4.440212765404251,"0.97170114654734",0.0174889,"*"
"Nestedness","Vegetation_coverage",1.2629328064018077,-0.1782510498886829,2.7041166626922974,"0.699711896670843",0.085879,""
"Nestedness","Water_area",0.9470119254415212,-0.40050107052104467,2.2945249214040864,"0.494462360574224",0.1683783,""
"Nestedness","Human_activity",0.8685235683004294,-0.8357604643119821,2.5728076009128404,"0.489860220935444",0.3178813,""
"Nestedness","Bullfrog_abundance",1.3476449294598256,-0.7649598773194437,3.460249736239094,"0.611240534313415",0.2111994,""
"Nestedness","Residence_time",-1.173113583227313,-3.8732784228926445,1.5270512564380194,"0.447088570412216",0.3944773,""
"Nestedness","Area",0.6727292189329915,-1.4958934711481024,2.841351909014085,"0.337412293006627",0.5431867,""
"Nestedness","Bullfrog_abundance:Isolation",0.2020026954051838,-1.3885400028860286,1.792545393696396,"0.22282424127405",0.8034226,""
"Nestedness","Crayfish_abundance",-0.3507087586501335,-1.672598989443216,0.9711814721429493,"0.348029487398728",0.6030669,""
"Nestedness","Native_abundance",0.1916991650697492,-1.3879905864032587,1.7713889165427568,"0.231405030412501",0.8120003,""
"Nestedness","Area:Bullfrog_abundance",0.17544902306864696,-1.7565242933236713,2.1074223394609652,"0.0614755877908331",0.8587301,""
